,UNIT,IN,OUT,COORDS
134,R144,119506.0,27450.0,"[40.785821999999996, -73.95097]"
135,R145,23693.0,22543.0,"[40.903085, -73.85059100000001]"
136,R146,47407.0,35249.0,"[40.820889, -73.890567]"
137,R147,76572.0,74202.0,"[40.745622999999995, -73.902969]"
138,R148,24655.0,16367.0,"[40.655053, -73.96122700000001]"
139,R149,49763.0,43411.0,"[40.635059000000005, -73.962793]"
140,R150,34267.0,10782.0,"[40.599307, -73.955916]"
141,R151,55938.0,49048.0,"[40.577422999999996, -73.981225]"
142,R152,62103.0,12169.0,"[40.64666, -73.901832]"
143,R153,71546.0,50140.0,"[40.679279, -73.930585]"
144,R154,46463.0,26631.0,"[40.850307, -73.905244]"
145,R155,37593.0,25132.0,"[40.866974, -73.893485]"
146,R156,34926.0,19528.0,"[40.873026, -73.88691899999999]"
147,R157,40573.0,25899.0,"[40.874827, -73.878872]"
148,R158,115022.0,117533.0,"[40.714444, -73.830979]"
149,R159,70253.0,36758.0,"[40.80819, -73.964124]"
150,R160,72195.0,73925.0,"[40.730056, -73.99104200000001]"
151,R161,46490.0,23582.0,"[40.867899, -73.897326]"
152,R162,30886.0,25782.0,"[40.828894, -73.879559]"
153,R163,90851.0,91149.0,"[40.737348, -73.9969]"
154,R164,103616.0,93735.0,"[40.773424, -73.98223399999999]"
155,R165,3022.0,0.0,"[40.636948, -74.07482399999999]"
156,R166,66752.0,33756.0,"[40.783871999999995, -73.979938]"
157,R167,82867.0,79557.0,"[40.788844, -73.97599]"
158,R168,170726.0,175847.0,"[40.79388, -73.972363]"
159,R169,62964.0,40975.0,"[40.821994000000004, -73.95367399999999]"
160,R170,439988.0,381817.0,"[40.734836, -73.990688]"
161,R171,42359.0,37267.0,"[40.677172, -73.972514]"
162,R172,59720.0,35113.0,"[40.577961, -73.96180600000001]"
163,R173,46074.0,21897.0,"[40.868045, -73.919921]"
164,R174,52113.0,39686.0,"[40.851686, -73.937967]"
165,R175,188890.0,140703.0,"[40.740388, -74.002104]"
166,R176,136580.0,110425.0,"[40.746119, -73.981826]"
167,R177,154171.0,106805.0,"[40.768143, -73.964016]"
168,R178,145511.0,137326.0,"[40.773635999999996, -73.959875]"
169,R179,237917.0,149771.0,"[40.779485, -73.955541]"
170,R180,48521.0,23983.0,"[40.790582, -73.947473]"
171,R181,60321.0,48710.0,"[40.795066, -73.94429699999999]"
172,R182,74043.0,37988.0,"[40.798574, -73.94159300000001]"
173,R183,26413.0,19414.0,"[40.873399, -73.890084]"
174,R184,26888.0,8182.0,"[40.640905, -73.96386600000001]"
175,R185,33213.0,855.0,"[40.865286, -73.92698]"
176,R186,45894.0,20387.0,"[40.785821999999996, -73.968952]"
177,R187,61030.0,51667.0,"[40.781434999999995, -73.972149]"
178,R188,88559.0,50084.0,"[40.762439, -73.985989]"
179,R189,38741.0,34324.0,"[40.733405, -74.002898]"
180,R190,64362.0,52781.0,"[40.744071000000005, -73.99562399999999]"
181,R191,55043.0,23288.0,"[40.799354, -73.968329]"
182,R192,52351.0,25762.0,"[40.804032, -73.96674200000001]"
183,R193,45121.0,23662.0,"[40.833878999999996, -73.944726]"
184,R194,60052.0,22295.0,"[40.725665, -73.995645]"
185,R195,91982.0,46436.0,"[40.827888, -73.925736]"
186,R196,40419.0,36922.0,"[40.661596, -73.962193]"
187,R197,58242.0,33736.0,"[40.65515, -74.003477]"
188,R198,75559.0,51457.0,"[40.680409999999995, -73.950326]"
189,R199,26089.0,19971.0,"[40.679921, -73.94085799999999]"
190,R200,40837.0,10499.0,"[40.675382, -73.87207]"
191,R201,99543.0,50174.0,"[40.73308, -73.869259]"
192,R202,70059.0,27321.0,"[40.729869, -73.86161]"
193,R203,71910.0,46179.0,"[40.742868, -73.99277]"
194,R204,45018.0,31008.0,"[40.644039, -73.979541]"
195,R205,65466.0,34503.0,"[40.818428999999995, -73.926927]"
196,R206,54076.0,21464.0,"[40.808076, -73.94590600000001]"
197,R207,65172.0,19822.0,"[40.814459, -73.94099200000001]"
198,R208,82846.0,59002.0,"[40.749858, -73.862672]"
199,R209,23929.0,14519.0,"[40.662752000000005, -73.95060500000001]"
200,R210,19031.0,3269.0,"[40.645089, -73.948975]"
201,R211,86087.0,75376.0,"[40.608691, -73.95777199999999]"
202,R212,53722.0,24599.0,"[40.641426, -74.017972]"
203,R213,35304.0,14954.0,"[40.634945, -74.023411]"
204,R214,23403.0,9009.0,"[40.629702, -74.025514]"
205,R215,51316.0,28759.0,"[40.622715, -74.028368]"
206,R216,25461.0,15584.0,"[40.616624, -74.030964]"
207,R217,40876.0,33819.0,"[40.688465, -73.985474]"
208,R218,55815.0,12379.0,"[40.742445000000004, -73.882005]"
209,R219,41280.0,20673.0,"[40.726462, -73.85263]"
210,R220,50009.0,20033.0,"[40.680231, -73.99498]"
211,R221,41022.0,40312.0,"[40.835535, -73.92138]"
212,R222,75887.0,70902.0,"[40.833246, -73.860805]"
213,R223,58114.0,43012.0,"[40.743078999999994, -73.918419]"
214,R224,23707.0,12542.0,"[40.697356, -73.992888]"
215,R225,20376.0,9659.0,"[40.690546999999995, -73.985066]"
216,R226,24875.0,6383.0,"[40.877796000000004, -73.866341]"
217,R227,26682.0,10710.0,"[40.707221999999994, -74.013391]"
218,R228,26936.0,12103.0,"[40.625028, -73.960819]"
219,R229,27703.0,10588.0,"[40.617568, -73.95936]"
220,R230,18685.0,4663.0,"[40.595234000000005, -73.95509]"
221,R231,27158.0,20909.0,"[40.677302000000005, -73.983135]"
222,R232,22993.0,14964.0,"[40.648866, -74.010086]"
223,R233,31044.0,12839.0,"[40.644959, -74.014034]"
224,R234,14749.0,12941.0,"[40.636232, -73.994765]"
225,R235,106764.0,110384.0,"[40.717240999999994, -73.956614]"
226,R236,50910.0,14833.0,"[40.703839, -73.91844]"
227,R237,21582.0,6530.0,"[40.856085, -73.900695]"
228,R238,62969.0,46509.0,"[40.756864, -73.920736]"
229,R239,38304.0,26600.0,"[40.731324, -73.954425]"
230,R240,89690.0,66209.0,"[40.718542, -73.994164]"
231,R241,25988.0,9271.0,"[40.660376, -73.979509]"
232,R242,20851.0,17012.0,"[40.629881, -73.977149]"
233,R243,39242.0,28459.0,"[40.840047999999996, -73.917775]"
234,R244,49349.0,25118.0,"[40.853390000000005, -73.907733]"
235,R245,17317.0,15654.0,"[40.8315, -73.867623]"
236,R246,20401.0,3815.0,"[40.665438, -73.992856]"
237,R247,9865.0,5434.0,"[40.631412, -73.995473]"
238,R248,97236.0,80903.0,"[40.730901, -73.981719]"
239,R249,43456.0,27001.0,"[40.71459, -73.94410400000001]"
240,R250,29707.0,28467.0,"[40.711874, -73.94067]"
241,R251,41285.0,29677.0,"[40.791654, -73.964682]"
242,R252,36529.0,41866.0,"[40.699315999999996, -73.990474]"
243,R253,22936.0,7395.0,"[40.845892, -73.910136]"
244,R254,69874.0,41913.0,"[40.736998, -73.87724200000001]"
245,R255,19678.0,10292.0,"[40.709174, -73.820593]"
246,R256,38358.0,18465.0,"[40.724608, -73.95127099999999]"
247,R257,60371.0,28161.0,"[40.713646999999995, -73.990152]"
248,R258,56018.0,46681.0,"[40.670320000000004, -73.98875699999999]"
249,R259,26414.0,23342.0,"[40.759122999999995, -73.953266]"
250,R260,45626.0,44147.0,"[40.849495000000005, -73.93363199999999]"
251,R261,45978.0,39340.0,"[40.743778000000006, -73.923998]"
252,R262,12641.0,10999.0,"[40.643982, -73.96451]"
253,R263,14850.0,11034.0,"[40.629164, -73.961678]"
254,R264,13812.0,7296.0,"[40.576298, -73.968523]"
255,R265,29666.0,15158.0,"[40.707889, -73.940005]"
256,R266,34223.0,20582.0,"[40.695607, -73.904021]"
257,R267,42469.0,33554.0,"[40.756312, -73.913333]"
258,R268,66684.0,28422.0,"[40.713875, -73.951592]"
259,R269,35166.0,18741.0,"[40.689636, -73.953459]"
260,R270,20522.0,23474.0,"[40.673714000000004, -73.996139]"
261,R271,11269.0,1766.0,"[40.589546999999996, -73.974295]"
262,R272,66625.0,44106.0,"[40.747223999999996, -73.99336]"
263,R273,38923.0,26123.0,"[40.826426, -73.950412]"
264,R274,34388.0,34315.0,"[40.855176, -73.929384]"
265,R275,26921.0,14455.0,"[40.858389, -73.903828]"
266,R276,64715.0,46650.0,"[40.742624, -73.95354499999999]"
267,R277,18588.0,20140.0,"[40.667879, -73.950648]"
268,R278,12196.0,3881.0,"[40.660481, -73.998059]"
269,R279,31966.0,7543.0,"[40.706635999999996, -73.922925]"
270,R280,20063.0,8135.0,"[40.859021999999996, -73.93419]"
271,R281,38392.0,32126.0,"[40.775545, -73.976398]"
272,R282,53701.0,11152.0,"[40.726202, -74.00362700000001]"
273,R283,20675.0,8101.0,"[40.686170000000004, -73.973908]"
274,R284,23245.0,19592.0,"[40.683263000000004, -73.965838]"
275,R285,20688.0,21177.0,"[40.603983, -73.755383]"
276,R286,26792.0,13033.0,"[40.694568, -73.949046]"
