index,IN,lat,lon
138,35882.0,40.655053,-73.961227
139,66518.0,40.635059,-73.962793
140,47174.0,40.599307,-73.955916
141,89118.0,40.577423,-73.981225
142,80217.0,40.64666,-73.901832
143,101926.0,40.679279,-73.930585
144,62959.0,40.850307,-73.905244
145,50406.0,40.866974,-73.893485
146,46581.0,40.873026,-73.886919
147,55061.0,40.874827,-73.878872
148,163769.0,40.714444,-73.830979
149,102756.0,40.80819,-73.964124
150,106719.0,40.730056,-73.991042
151,62691.0,40.867899,-73.897326
152,42591.0,40.828894,-73.879559
153,114442.0,40.737348,-73.9969
154,149879.0,40.773424,-73.982234
155,4509.0,40.636948,-74.074824
156,100926.0,40.783872,-73.979938
157,122063.0,40.788844,-73.97599
158,247880.0,40.79388,-73.972363
159,93411.0,40.821994,-73.953674
160,650092.0,40.734836,-73.990688
161,57489.0,40.677172,-73.972514
162,83580.0,40.577961,-73.961806
163,63025.0,40.868045,-73.919921
164,72717.0,40.851686,-73.937967
165,284779.0,40.740388,-74.002104
166,188652.0,40.746119,-73.981826
167,204576.0,40.768143,-73.964016
168,204706.0,40.773636,-73.959875
169,371534.0,40.779485,-73.955541
170,67659.0,40.790582,-73.947473
171,90364.0,40.795066,-73.944297
172,107358.0,40.798574,-73.941593
173,37573.0,40.873399,-73.890084
174,40654.0,40.640905,-73.963866
175,46469.0,40.865286,-73.92698
176,66605.0,40.785822,-73.968952
177,94725.0,40.781435,-73.972149
178,139467.0,40.762439,-73.985989
179,62856.0,40.733405,-74.002898
180,92744.0,40.744071,-73.995624
181,81981.0,40.799354,-73.968329
182,79626.0,40.804032,-73.966742
183,68217.0,40.833879,-73.944726
184,95119.0,40.725665,-73.995645
185,138006.0,40.827888,-73.925736
186,62531.0,40.661596,-73.962193
187,84971.0,40.65515,-74.003477
188,116109.0,40.68041,-73.950326
189,39876.0,40.679921,-73.940858
190,51574.0,40.675382,-73.87207
191,138259.0,40.73308,-73.869259
192,103026.0,40.729869,-73.86161
193,97502.0,40.742868,-73.99277
194,67147.0,40.644039,-73.979541
195,90216.0,40.818429,-73.926927
196,-7514426.0,40.808076,-73.945906
197,101508.0,40.814459,-73.940992
198,127583.0,40.749858,-73.862672
199,35732.0,40.662752,-73.950605
200,28130.0,40.645089,-73.948975
201,122441.0,40.608691,-73.957772
202,80659.0,40.641426,-74.017972
203,52151.0,40.634945,-74.023411
204,33940.0,40.629702,-74.025514
205,74945.0,40.622715,-74.028368
206,36876.0,40.616624,-74.030964
207,60493.0,40.688465,-73.985474
208,86261.0,40.742445,-73.882005
209,58164.0,40.726462,-73.85263
210,72156.0,40.680231,-73.99498
211,61691.0,40.835535,-73.92138
212,100745.0,40.833246,-73.860805
213,88560.0,40.743079,-73.918419
214,38014.0,40.697356,-73.992888
215,30718.0,40.690547,-73.985066
216,35039.0,40.877796,-73.866341
217,41409.0,40.707222,-74.013391
218,38896.0,40.625028,-73.960819
219,38651.0,40.617568,-73.95936
220,27368.0,40.595234,-73.95509
221,39820.0,40.677302,-73.983135
222,24348.0,40.648866,-74.010086
223,46788.0,40.644959,-74.014034
224,20049.0,40.636232,-73.994765
225,166893.0,40.717241,-73.956614
226,78811.0,40.703839,-73.91844
227,33354.0,40.856085,-73.900695
228,97409.0,40.756864,-73.920736
229,56861.0,40.731324,-73.954425
230,163408.0,40.718542,-73.994164
231,38744.0,40.660376,-73.979509
232,30461.0,40.629881,-73.977149
233,59422.0,40.840048,-73.917775
234,72353.0,40.85339,-73.907733
235,26183.0,40.8315,-73.867623
236,28930.0,40.665438,-73.992856
237,14095.0,40.631412,-73.995473
238,151890.0,40.730901,-73.981719
239,65428.0,40.71459,-73.944104
240,43231.0,40.711874,-73.94067
241,58742.0,40.791654,-73.964682
242,56174.0,40.699316,-73.990474
243,34137.0,40.845892,-73.910136
244,87433.0,40.736998,-73.877242
245,28782.0,40.709174,-73.820593
246,56594.0,40.724608,-73.951271
247,92551.0,40.713647,-73.990152
