,UNIT,IN,OUT,COORDS
149,R159,70681.0,34657.0,"[40.80819, -73.964124]"
150,R160,70914.0,74317.0,"[40.730056, -73.99104200000001]"
151,R161,42865.0,22407.0,"[40.867899, -73.897326]"
152,R162,28406.0,25292.0,"[40.828894, -73.879559]"
153,R163,92245.0,95674.0,"[40.737348, -73.9969]"
154,R164,101339.0,89668.0,"[40.773424, -73.98223399999999]"
155,R165,3170.0,0.0,"[40.636948, -74.07482399999999]"
156,R166,65344.0,32732.0,"[40.783871999999995, -73.979938]"
157,R167,80079.0,76996.0,"[40.788844, -73.97599]"
158,R168,165132.0,171253.0,"[40.79388, -73.972363]"
159,R169,58903.0,38682.0,"[40.821994000000004, -73.95367399999999]"
160,R170,440463.0,375060.0,"[40.734836, -73.990688]"
161,R171,39947.0,36126.0,"[40.677172, -73.972514]"
162,R172,58174.0,34806.0,"[40.577961, -73.96180600000001]"
163,R173,42539.0,21615.0,"[40.868045, -73.919921]"
164,R174,48400.0,39179.0,"[40.851686, -73.937967]"
165,R175,188156.0,137346.0,"[40.740388, -74.002104]"
166,R176,133620.0,104970.0,"[40.746119, -73.981826]"
167,R177,150311.0,97218.0,"[40.768143, -73.964016]"
168,R178,141509.0,129354.0,"[40.773635999999996, -73.959875]"
169,R179,241868.0,151571.0,"[40.779485, -73.955541]"
170,R180,46473.0,22792.0,"[40.790582, -73.947473]"
171,R181,61545.0,49154.0,"[40.795066, -73.94429699999999]"
172,R182,71150.0,36649.0,"[40.798574, -73.94159300000001]"
173,R183,26689.0,19159.0,"[40.873399, -73.890084]"
174,R184,27229.0,8368.0,"[40.640905, -73.96386600000001]"
175,R185,30979.0,809.0,"[40.865286, -73.92698]"
176,R186,46550.0,20438.0,"[40.785821999999996, -73.968952]"
177,R187,59030.0,48105.0,"[40.781434999999995, -73.972149]"
178,R188,89783.0,50620.0,"[40.762439, -73.985989]"
179,R189,39783.0,35849.0,"[40.733405, -74.002898]"
180,R190,63737.0,50861.0,"[40.744071000000005, -73.99562399999999]"
181,R191,52626.0,22814.0,"[40.799354, -73.968329]"
182,R192,51024.0,24717.0,"[40.804032, -73.96674200000001]"
183,R193,43358.0,24662.0,"[40.833878999999996, -73.944726]"
184,R194,63869.0,24216.0,"[40.725665, -73.995645]"
185,R195,92893.0,46700.0,"[40.827888, -73.925736]"
186,R196,41160.0,37082.0,"[40.661596, -73.962193]"
187,R197,55315.0,32599.0,"[40.65515, -74.003477]"
188,R198,77187.0,52085.0,"[40.680409999999995, -73.950326]"
189,R199,26318.0,20050.0,"[40.679921, -73.94085799999999]"
190,R200,41516.0,10558.0,"[40.675382, -73.87207]"
191,R201,92271.0,49921.0,"[40.73308, -73.869259]"
192,R202,70091.0,27411.0,"[40.729869, -73.86161]"
193,R203,72135.0,46754.0,"[40.742868, -73.99277]"
194,R204,45085.0,30785.0,"[40.644039, -73.979541]"
195,R205,64111.0,33080.0,"[40.818428999999995, -73.926927]"
196,R206,40404.0,16953.0,"[40.808076, -73.94590600000001]"
197,R207,66140.0,19941.0,"[40.814459, -73.94099200000001]"
198,R208,83178.0,59525.0,"[40.749858, -73.862672]"
199,R209,24354.0,14491.0,"[40.662752000000005, -73.95060500000001]"
200,R210,19084.0,3336.0,"[40.645089, -73.948975]"
201,R211,86360.0,75112.0,"[40.608691, -73.95777199999999]"
202,R212,53980.0,24869.0,"[40.641426, -74.017972]"
203,R213,35485.0,14875.0,"[40.634945, -74.023411]"
204,R214,23554.0,8936.0,"[40.629702, -74.025514]"
205,R215,51595.0,28785.0,"[40.622715, -74.028368]"
206,R216,25635.0,15492.0,"[40.616624, -74.030964]"
207,R217,41307.0,34077.0,"[40.688465, -73.985474]"
208,R218,56334.0,12306.0,"[40.742445000000004, -73.882005]"
209,R219,41261.0,20704.0,"[40.726462, -73.85263]"
210,R220,50063.0,20549.0,"[40.680231, -73.99498]"
211,R221,41317.0,40626.0,"[40.835535, -73.92138]"
212,R222,69033.0,69901.0,"[40.833246, -73.860805]"
213,R223,58505.0,43189.0,"[40.743078999999994, -73.918419]"
214,R224,24216.0,12658.0,"[40.697356, -73.992888]"
215,R225,20413.0,9745.0,"[40.690546999999995, -73.985066]"
216,R226,25173.0,6442.0,"[40.877796000000004, -73.866341]"
217,R227,27111.0,10962.0,"[40.707221999999994, -74.013391]"
218,R228,26782.0,12048.0,"[40.625028, -73.960819]"
219,R229,27607.0,10729.0,"[40.617568, -73.95936]"
220,R230,18638.0,4633.0,"[40.595234000000005, -73.95509]"
221,R231,27383.0,21259.0,"[40.677302000000005, -73.983135]"
222,R232,23045.0,14899.0,"[40.648866, -74.010086]"
223,R233,31080.0,12926.0,"[40.644959, -74.014034]"
224,R234,11157.0,9813.0,"[40.636232, -73.994765]"
225,R235,109103.0,113425.0,"[40.717240999999994, -73.956614]"
226,R236,51717.0,14684.0,"[40.703839, -73.91844]"
227,R237,21743.0,6524.0,"[40.856085, -73.900695]"
228,R238,63982.0,47445.0,"[40.756864, -73.920736]"
229,R239,38724.0,27133.0,"[40.731324, -73.954425]"
230,R240,90132.0,68347.0,"[40.718542, -73.994164]"
231,R241,26459.0,9629.0,"[40.660376, -73.979509]"
232,R242,20906.0,17157.0,"[40.629881, -73.977149]"
233,R243,39848.0,28502.0,"[40.840047999999996, -73.917775]"
234,R244,49202.0,24949.0,"[40.853390000000005, -73.907733]"
235,R245,17528.0,15476.0,"[40.8315, -73.867623]"
236,R246,20520.0,3877.0,"[40.665438, -73.992856]"
237,R247,9850.0,5299.0,"[40.631412, -73.995473]"
238,R248,98531.0,82299.0,"[40.730901, -73.981719]"
239,R249,44059.0,27139.0,"[40.71459, -73.94410400000001]"
240,R250,29874.0,28732.0,"[40.711874, -73.94067]"
241,R251,41781.0,30139.0,"[40.791654, -73.964682]"
242,R252,36981.0,42320.0,"[40.699315999999996, -73.990474]"
243,R253,22549.0,7321.0,"[40.845892, -73.910136]"
244,R254,69844.0,41966.0,"[40.736998, -73.87724200000001]"
245,R255,19744.0,9643.0,"[40.709174, -73.820593]"
246,R256,38630.0,18718.0,"[40.724608, -73.95127099999999]"
247,R257,60349.0,28531.0,"[40.713646999999995, -73.990152]"
248,R258,54591.0,46732.0,"[40.670320000000004, -73.98875699999999]"
249,R259,26957.0,23349.0,"[40.759122999999995, -73.953266]"
250,R260,46137.0,44325.0,"[40.849495000000005, -73.93363199999999]"
251,R261,46368.0,39655.0,"[40.743778000000006, -73.923998]"
252,R262,12656.0,10742.0,"[40.643982, -73.96451]"
253,R263,14482.0,10657.0,"[40.629164, -73.961678]"
254,R264,13745.0,7341.0,"[40.576298, -73.968523]"
255,R265,30262.0,15297.0,"[40.707889, -73.940005]"
256,R266,34448.0,20504.0,"[40.695607, -73.904021]"
257,R267,39398.0,32107.0,"[40.756312, -73.913333]"
258,R268,64011.0,28669.0,"[40.713875, -73.951592]"
259,R269,35541.0,18745.0,"[40.689636, -73.953459]"
260,R270,20689.0,23588.0,"[40.673714000000004, -73.996139]"
261,R271,11263.0,1806.0,"[40.589546999999996, -73.974295]"
262,R272,65632.0,42523.0,"[40.747223999999996, -73.99336]"
263,R273,39544.0,26395.0,"[40.826426, -73.950412]"
264,R274,34562.0,34408.0,"[40.855176, -73.929384]"
265,R275,27171.0,14440.0,"[40.858389, -73.903828]"
266,R276,66005.0,47264.0,"[40.742624, -73.95354499999999]"
267,R277,18445.0,19992.0,"[40.667879, -73.950648]"
268,R278,12365.0,3941.0,"[40.660481, -73.998059]"
269,R279,32374.0,7666.0,"[40.706635999999996, -73.922925]"
270,R280,20465.0,8313.0,"[40.859021999999996, -73.93419]"
271,R281,39429.0,33069.0,"[40.775545, -73.976398]"
272,R282,54118.0,11224.0,"[40.726202, -74.00362700000001]"
